Name,Authors,Publication Info,Year,URL
Where responsible AI meets reality: Practitioner perspectives on enablers for shifting organizational practices,"B Rakova, J Yang, H Cramer…",Proceedings of the ACM on … - dl.acm.org,2021,https://arxiv.org/pdf/2006.12358.pdf?utm_source=morning_brew
Explainable AI and responsible AI,"C Kerrigan, O Vercoe",Artificial Intelligence - elgaronline.com,2022,
Artificial intelligence (AI) and information systems: perspectives to responsible AI,"D Dennehy, A Griva, N Pouloudi, YK Dwivedi…",Information Systems … - Springer,2023,https://link.springer.com/article/10.1007/s10796-022-10365-3
Responsible AI and moral responsibility: a common appreciation,DW Tigard,AI and Ethics - Springer,2021,https://link.springer.com/article/10.1007/s43681-020-00009-0
Designing responsible ai: Adaptations of ux practice to meet responsible ai challenges,"Q Wang, M Madaio, S Kane, S Kapania…",Proceedings of the … - dl.acm.org,2023,https://dl.acm.org/doi/pdf/10.1145/3544548.3581278
Tools and practices for responsible AI engineering,"R Soklaski, J Goodwin, O Brown, M Yee…",arXiv preprint arXiv … - arxiv.org,2022,https://arxiv.org/pdf/2201.05647
"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation","N Díaz-Rodríguez, J Del Ser, M Coeckelbergh…",Information … - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S1566253523002129
Responsible ai pattern catalogue: A collection of best practices for ai governance and engineering,"Q Lu, L Zhu, X Xu, J Whittle, D Zowghi…",ACM Computing … - dl.acm.org,2023,https://dl.acm.org/doi/pdf/10.1145/3626234
Companies committed to responsible AI: From principles towards implementation and regulation?,PB de Laat,Philosophy & technology - Springer,2021,https://link.springer.com/article/10.1007/s13347-021-00474-3
Responsible-AI-by-design: A pattern collection for designing responsible AI systems,"Q Lu, L Zhu, X Xu, J Whittle",IEEE Software - ieeexplore.ieee.org,2023,https://arxiv.org/pdf/2203.00905
Towards a roadmap on software engineering for responsible AI,"Q Lu, L Zhu, X Xu, J Whittle, Z Xing",… 1st International Conference on AI … - dl.acm.org,2022,https://arxiv.org/pdf/2203.08594
Generative ai meets responsible ai: Practical challenges and opportunities,"K Kenthapadi, H Lakkaraju, N Rajani",Proceedings of the 29th ACM … - dl.acm.org,2023,
Responsible AI for digital health: a synthesis and a research agenda,"C Trocin, P Mikalef, Z Papamitsiou…",Information Systems … - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10146-4
